"";"code_muni";"territorialidades";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x15";"x16";"x17";"x18";"x11/pop";"x12/pop";"x13/pop";"x14/pop"
"31";4205308;"faxinal dos guedes";31,39;72,39;99,96;88,03;6;48;6,97;5476;2,2;30522,4328862229;11,2;0,758;0,49;99,43;1840,81180001876;6,83378669918394;12,1391989494419;5,79598536722634
"32";4205357;"flor do sertao";27,05;20,65;98,93;98,39;1;0;11,97;966;0,5;10740,5551284244;17,3;0,708;0,48;100;4660,73123425693;2,11209068010076;0,545969773299748;4,11649874055416
"33";4205431;"formosa do sul";26,12;41,68;100;83,4;1;0;7,72;1279;0,17;11008,9380930717;12,6;0,715;0,42;100;3036,35611687812;2,57131872356786;0,558631295655517;4,21299500192234
"34";4205605;"galvao";28,48;67,6;99,35;93,2;3;21;14,28;1726;3,16;22358,3652066824;15,2;0,708;0,45;96,74;2559,66152937788;7,60109447004608;5,52736175115207;3,713133640553
"35";4206405;"guaraciaba";31,75;46,9;100;88,68;6;43;6,59;6605;1,67;15520,7344610244;10,6;0,751;0,47;94,5;1466,79759668508;5,03581634597066;3,19089350352448;3,54410363878834
"36";4206603;"guaruja do sul";48,82;54,1;99,74;97,3;2;15;6,33;2727;4,73;13844,6107842468;13,6;0,73;0,4;97,81;2131,4603748981;5,7277913610432;1,47269763651182;2,36287693561532
"37";4206652;"guatambu";22,85;37,38;99,65;86,71;2;0;10,21;2348;2,46;38084,9583177157;14,5;0,717;0,45;97,33;2398,40551613593;13,1889292583885;9,76383842701432;7,17631972643727
"38";4206702;"herval d'oeste";97,95;88,76;99,85;95,87;9;0;4,81;10970;2,73;14978,1457744266;11,6;0,758;0,42;99,85;1376,77807053063;5,74132492113565;4,41433212486464;1,02420076274778
"39";4206801;"ibicare";21,61;46,16;100;91,55;2;42;6,73;1771;2,93;14836,8303785587;14,2;0,708;0,43;100;2653,99007115328;4,25733768158909;1,06848502816484;5,79810257930626
"40";4207601;"ipira";30,57;53,05;99,93;92,27;6;29;5,02;2758;0,55;10506,2245434623;13,2;0,736;0,45;99,88;2120,18008207071;2,79692760942761;0,961069023569024;3,6395202020202
