"";"code_muni";"territorialidades";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x15";"x16";"x17";"x18";"x11/pop";"x12/pop";"x13/pop";"x14/pop"
"68";4212106;"palmitos";49,93;97,36;90,85;9;91;8,66;8406;3,47;4175,49981527981;22,6;0,619;0,56;82,45;1497,73331841578;4,03074716228015;0,378321067731071;1,90626169390046
"69";4212239;"paraiso";27,15;98,03;83,06;2;NA;12,48;2249;0,99;3808,3209657313;20,2;0,547;0,53;87,42;2136,99577342994;1,43807339449541;0,221226021684737;1,85654712260217
"70";4212270;"passos maia";15,7;73,5;78,54;5;NA;16,91;1893;5,56;4133,91817678245;27,2;0,543;0,57;93,16;2379,57913134329;1,42221289103506;0,532437539365946;1,27125761074953
"71";4212601;"peritiba";42,15;100;96,62;2;35;4,7;1641;6,52;5825,12143907291;17,6;0,655;0,45;95,71;3030,29746810461;2,22352941176471;0,860681114551084;1,73684210526316
"72";4212908;"pinhalzinho";75,37;97,19;96,7;2;46;7,78;6011;5,09;5219,72921477018;16,7;0,663;0,53;93,9;1845,63210626386;3,70273551311104;1,71989316931046;1,01885723535125
"73";4213104;"piratuba";46,63;94,84;78,19;2;NA;4,97;2858;3,56;3456,32802065501;23;0,6;0,51;86,56;2104,58229543926;2,41001376462491;2,54731589814178;0,955953200275293
"74";4213153;"planalto alegre";30,14;98,28;88,96;1;NA;13,87;1241;0,31;3800,53154336236;19;0,664;0,53;96,97;3558,44729922789;2,04608482871126;0,505709624796085;1,95636215334421
"75";4213401;"ponte serrada";68,46;95,74;92,93;12;75;12,73;4029;9,21;5242,64773340972;31,2;0,566;0,61;96,66;1695,60122117535;2,28093930499006;0,674462645582805;2,34333869898684
"76";4214151;"princesa";21,74;88,31;82,18;1;NA;11,63;1300;3,32;4053,12642918843;23,6;0,535;0,52;60,71;3242,45545626947;1,35438193647149;0,258323765786452;2,13853807883659
"77";4214201;"quilombo";43,75;95,17;92,17;5;53;10,89;5170;3,8;7382,86546346577;26,5;0,614;0,61;83,37;2153,48824766542;2,51676602086438;2,46739940387481;1,41374813710879
