"";"code_muni";"territorialidades";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"62";4211405;"nova erechim";48,55;99,52;96,05;2;29;8,16;1784;1,53;14353397,8494731;9023;3664;5168;18;0,659;0,5;93,39
"63";4211454;"nova itaberaba";9,99;95,88;51,45;1;NA;14,69;2116;1,12;11716438,892477;6858;2227;8262;22,8;0,589;0,59;94,23
"64";4211652;"novo horizonte";23,32;94,28;89,65;1;NA;12,71;1733;1,01;9807015,53423164;5166;912;7955;26,9;0,56;0,53;81,62
"65";4211850;"ouro verde";26,57;99,69;96,27;1;NA;11,22;864;2,58;10003132,461825;7711;1112;10607;24,6;0,636;0,64;74,42
"66";4211876;"paial";12,62;93,08;73,27;NA;NA;11;880;0,85;8295302,12557358;3363;489;3921;24,2;0,548;0,47;82,86
"67";4212007;"palma sola";38,9;93,64;85,59;5;43;12,77;3737;8,81;13586616,5386878;17627;7137;13275;26;0,571;0,58;96,6
"68";4212106;"palmitos";49,93;97,36;90,85;9;91;8,66;8406;3,47;24014656,0274786;64629;6066;30565;22,6;0,619;0,56;82,45
"69";4212239;"paraiso";27,15;98,03;83,06;2;NA;12,48;2249;0,99;10249031,72937;6897;1061;8904;20,2;0,547;0,53;87,42
"70";4212270;"passos maia";15,7;73,5;78,54;5;NA;16,91;1893;5,56;11333935,4025881;6774;2536;6055;27,2;0,543;0,57;93,16
"71";4212601;"peritiba";42,15;100;96,62;2;35;4,7;1641;6,52;9787860,82197788;7182;2780;5610;17,6;0,655;0,45;95,71
"72";4212908;"pinhalzinho";75,37;97,19;96,7;2;46;7,78;6011;5,09;22804630,3049963;45751;21251;12589;16,7;0,663;0,53;93,9
"73";4213104;"piratuba";46,63;94,84;78,19;2;NA;4,97;2858;3,56;12231832,301093;14007;14805;5556;23;0,6;0,51;86,56
"74";4213153;"planalto alegre";30,14;98,28;88,96;1;NA;13,87;1241;0,31;8725312,77770679;5017;1240;4797;19;0,664;0,53;96,97
"75";4213401;"ponte serrada";68,46;95,74;92,93;12;75;12,73;4029;9,21;17907244,4968329;24089;7123;24748;31,2;0,566;0,61;96,66
"76";4214151;"princesa";21,74;88,31;82,18;1;NA;11,63;1300;3,32;8472536,10723213;3539;675;5588;23,6;0,535;0,52;60,71
"77";4214201;"quilombo";43,75;95,17;92,17;5;53;10,89;5170;3,8;23119849,8269359;27020;26490;15178;26,5;0,614;0,61;83,37
"78";4215075;"riqueza";24,72;96,33;82,64;4;NA;11,23;2797;2;10210902,1341295;8785;1796;10856;22,6;0,606;0,52;82,97
"79";4215208;"romelandia";32,66;91,61;84,22;2;28;11,23;3162;2,76;11381211,09935;9657;2509;9908;29,4;0,534;0,47;65,81
"80";4215356;"saltinho";20,73;81,2;73,05;NA;NA;17,52;1939;0,81;9604134,07801641;5607;855;5613;30,5;0,535;0,54;58,53
"81";4215554;"santa helena";25,57;97,34;88,92;1;NA;9,86;1323;0,29;8371700,59859824;4732;1395;4970;18,7;0,608;0,5;93,63
