"","code_muni","territorialidades"
"1",4200754,"alto bela vista"
"2",4201273,"arabuta"
"3",4204301,"concordia"
"4",4207601,"ipira"
"5",4207700,"ipumirim"
"6",4207809,"irani"
"7",4208005,"ita"
"8",4208609,"jabora"
"9",4209854,"lindoia do sul"
"10",4212601,"peritiba"
"11",4213104,"piratuba"
"12",4213906,"presidente castello branco"
"13",4217501,"seara"
"14",4219606,"xavantina"
